humanjobid,area
1537619,Rural
1537277,Urban
1537461,Urban
1537258,Urban
1537515,Urban
1537069,Rural
1536282,Urban
1537256,Urban
1537689,Rural
1535071,Rural
1537682,Rural
1537413,Rural
1537882,Urban
1537162,Urban
1537177,Rural
1537147,Urban
1537925,Rural
1537407,Rural
1537459,Rural
1537506,Urban
1537669,Rural
1537504,Urban
1536819,Urban
1529913,Urban
1537673,Rural
1537321,Urban
1537458,Urban
1537289,Rural
1537283,Urban
1537531,Rural
1537245,Rural
1537453,Urban
1536486,Rural
1537244,Urban
1537720,Rural
1537564,Urban
1537446,Urban
1538167,Urban
1537390,Rural
1537406,Rural
1537449,Urban
1537637,Urban
1537687,Rural
1537655,Rural
1537372,Urban
1537300,Urban
1537705,Urban
1537326,Urban
1536365,Urban
1537395,Rural
1536576,Rural
1537500,Rural
1537344,Rural
1537144,Urban
1534843,Rural
1537563,Rural
1537812,Urban
1531848,Rural
1537630,Urban
1537599,Rural
1537139,Urban
1537540,Rural
1537612,Rural
1537211,Urban
1537645,Rural
1535789,Rural
1536131,Rural
1537224,Rural
1535060,Rural
1537575,Urban
1537634,Rural
1536890,Urban
1537698,Rural
1537338,Urban
1537708,Urban
1537643,Rural
1537678,Rural
1537537,Rural
1537749,Urban
1537348,Rural
1537654,Urban
1537858,Rural
1537790,Rural
1537956,Urban
1537841,Rural
1537477,Rural
1537934,Rural
1537843,Rural
1537972,Rural
1537709,Urban
1537885,Urban
1537215,Urban
1537900,Urban
1537883,Rural
1537897,Rural
1537343,Rural
1537809,Urban
1537670,Rural
1537865,Urban
1538056,Rural
1537346,Urban
1537989,Urban
1537933,Urban
1537927,Urban
1537845,Rural
1537738,Rural
1538058,Rural
1538306,Urban
1537609,Urban
1538743,Rural
1536748,Rural
1537949,Rural
1537715,Rural
1536121,Rural
1538183,Urban
1537943,Urban
1537950,Rural
1537660,Rural
1538156,Rural
1537677,Urban
1530709,Urban
1538117,Rural
1531984,Rural
1538868,Rural
1537505,Urban
1538068,Urban
1537979,Rural
1538039,Rural
1536495,Rural
1537690,Rural
1537594,Urban
1537965,Urban
1537649,Urban
1538116,Rural
1538069,Rural
1537267,Rural
1537661,Rural
1538075,Rural
1537721,Urban
1537123,Urban
1537908,Urban
1537969,Urban
1538182,Urban
1538128,Rural
1538380,Rural
1538053,Urban
1537419,Urban
1538085,Rural
1538133,Rural
1538146,Urban
1538094,Rural
1538701,Urban
1538569,Urban
1538141,Rural
1537615,Rural
1538555,Urban
1537767,Rural
1538138,Rural
1537641,Rural
1538035,Urban
1537758,Urban
1538628,Rural
1538079,Rural
1538979,Rural
1538027,Urban
1538134,Urban
1537819,Rural
1538131,Rural
1537928,Urban
1537776,Rural
1538506,Rural
1538166,Urban
1538162,Urban
1537198,Urban
1538533,Urban
1538341,Urban
1538366,Rural
1537973,Rural
1538444,Rural
1538244,Rural
1538581,Rural
1538596,Rural
1538561,Urban
1538764,Urban
1538710,Rural
1539293,Rural
1538294,Urban
1538492,Rural
1538547,Rural
1538346,Urban
1538650,Urban
1533718,Rural
1538734,Urban
1538688,Urban
1538613,Rural
1538690,Urban
1538381,Urban
1538512,Urban
1538451,Rural
1538418,Urban
1538692,Rural
1538405,Rural
1538554,Rural
1538284,Urban
1538631,Urban
1538475,Rural
1538637,Urban
1538629,Urban
1538810,Rural
1538983,Rural
1539030,Rural
1538745,Rural
1538447,Rural
1538084,Urban
1538639,Urban
1538612,Urban
1538531,Rural
1538973,Rural
1538882,Rural
1538646,Rural
1538872,Urban
1538500,Urban
1536092,Rural
1539019,Urban
1538591,Urban
1538323,Rural
1538852,Urban
1538823,Rural
1538697,Rural
1538666,Rural
1538624,Rural
1538798,Rural
1538549,Rural
1538797,Rural
1538711,Urban
1538435,Urban
1538520,Rural
1538748,Rural
1538970,Rural
1538918,Urban
1538649,Urban
1538698,Urban
1539168,Rural
1538672,Urban
1538525,Urban
1537512,Urban
1537483,Urban
1538726,Rural
1538730,Rural
1539001,Urban
1538706,Rural
1538915,Rural
1538614,Urban
1539033,Rural
1538783,Rural
1538739,Urban
1538994,Rural
1538869,Rural
1539850,Rural
1538935,Rural
1538866,Rural
1538929,Rural
1538736,Rural
1538927,Rural
1538998,Rural
1538899,Rural
1538792,Rural
1538926,Urban
1539322,Urban
1538987,Rural
1538896,Urban
1538746,Rural
1538912,Urban
1538895,Urban
1538881,Urban
1538875,Urban
1538902,Urban
1539040,Rural
1539392,Urban
1539277,Rural
1539341,Urban
1538786,Rural
1538805,Rural
1538908,Rural
1539008,Urban
1539527,Rural
1539367,Urban
1538976,Rural
1538888,Urban
1537444,Urban
1538989,Rural
1539534,Urban
1538980,Rural
1538876,Urban
1538900,Urban
1538930,Urban
1539612,Urban
1538967,Rural
1538992,Urban
1539181,Urban
1538887,Rural
1539871,Rural
1539244,Rural
1539044,Rural
1539370,Rural
